id,bloc
"110",272546.000000000000000
"111",272548.000000000000000
"112",272550.000000000000000
"113",272552.000000000000000
"114",272554.000000000000000
"115",272556.000000000000000
"116",272558.000000000000000
"117",272560.000000000000000
"118",272562.000000000000000
"119",274498.000000000000000
"120",274500.000000000000000
"121",274502.000000000000000
"122",274504.000000000000000
"123",274508.000000000000000
"124",274510.000000000000000
"125",274512.000000000000000
"126",274514.000000000000000
"127",274516.000000000000000
"128",274518.000000000000000
"129",274520.000000000000000
"130",274522.000000000000000
"131",274524.000000000000000
"132",274526.000000000000000
"133",274528.000000000000000
"134",274530.000000000000000
"135",274532.000000000000000
"136",274534.000000000000000
"137",274536.000000000000000
"138",274538.000000000000000
"139",274540.000000000000000
"140",274542.000000000000000
"141",274544.000000000000000
"142",274546.000000000000000
"143",274548.000000000000000
"144",274550.000000000000000
"145",274552.000000000000000
"146",274554.000000000000000
"147",274556.000000000000000
"148",274558.000000000000000
"149",274560.000000000000000
"150",274562.000000000000000
"151",274564.000000000000000
"152",274566.000000000000000
"153",274586.000000000000000
"154",276498.000000000000000
"155",276500.000000000000000
"156",276502.000000000000000
"157",276504.000000000000000
"158",276508.000000000000000
"159",276510.000000000000000
"160",276512.000000000000000
"161",276514.000000000000000
"162",276516.000000000000000
"163",276518.000000000000000
"164",276520.000000000000000
"165",276522.000000000000000
"166",276524.000000000000000
"167",276526.000000000000000
"168",276528.000000000000000
"169",276530.000000000000000
"170",276532.000000000000000
"171",276534.000000000000000
"172",276536.000000000000000
"173",276538.000000000000000
"174",276540.000000000000000
"175",276542.000000000000000
"176",276544.000000000000000
"177",276546.000000000000000
"178",276548.000000000000000
"179",276550.000000000000000
"180",276552.000000000000000
"181",276554.000000000000000
"182",276556.000000000000000
"183",276558.000000000000000
"184",276560.000000000000000
"185",276562.000000000000000
"186",276564.000000000000000
"187",276566.000000000000000
"188",276568.000000000000000
"189",276584.000000000000000
"190",276586.000000000000000
"191",276588.000000000000000
"192",276594.000000000000000
"193",276596.000000000000000
"194",276614.000000000000000
"195",276616.000000000000000
"196",276618.000000000000000
"197",278498.000000000000000
"198",278500.000000000000000
"199",278502.000000000000000
"200",278504.000000000000000
"201",278506.000000000000000
"202",278508.000000000000000
"203",278510.000000000000000
"204",278512.000000000000000
"205",278514.000000000000000
"206",278516.000000000000000
"207",278518.000000000000000
"208",278520.000000000000000
"209",278522.000000000000000
"210",278524.000000000000000
"211",278526.000000000000000
"212",278528.000000000000000
"213",278530.000000000000000
"214",278532.000000000000000
"215",278534.000000000000000
"216",278536.000000000000000
"217",278538.000000000000000
"218",278540.000000000000000
"219",278542.000000000000000
"220",278544.000000000000000
"221",278546.000000000000000
"222",278548.000000000000000
"223",278550.000000000000000
"224",278552.000000000000000
"225",278554.000000000000000
"226",278556.000000000000000
"227",278558.000000000000000
"228",278560.000000000000000
"229",278562.000000000000000
"230",278564.000000000000000
"231",278566.000000000000000
"232",278568.000000000000000
"233",278570.000000000000000
"234",278574.000000000000000
"235",278576.000000000000000
"236",278578.000000000000000
"237",278580.000000000000000
"238",278582.000000000000000
"239",278584.000000000000000
"240",278586.000000000000000
"241",278588.000000000000000
"242",278590.000000000000000
"243",278592.000000000000000
"244",278594.000000000000000
"245",278596.000000000000000
"246",278608.000000000000000
"247",278610.000000000000000
"248",278612.000000000000000
"249",278614.000000000000000
"250",278616.000000000000000
"251",278618.000000000000000
"252",278620.000000000000000
"253",280494.000000000000000
"254",280496.000000000000000
"255",280498.000000000000000
"256",280500.000000000000000
"257",280502.000000000000000
"258",280504.000000000000000
"259",280506.000000000000000
"260",280508.000000000000000
"261",280510.000000000000000
"262",280512.000000000000000
"263",280514.000000000000000
"264",280516.000000000000000
"265",280518.000000000000000
"266",280520.000000000000000
